,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,,0.5,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9823623542652152,0.9912489986793391,0.48896434634974534,0.9650731808230041,0.9473684210526315,0.9734654095556352,0.8952195424690123,0.9824561403508771,0.9650731808230041,0.9372286827846255,0.9823623542652152,0.9554882874504246,0.956244993396696,0.9823623542652152,0.9823623542652152,1.0,0.9736164257756981,0.9738579758273159
f1_train,0.9779390395034108,1.0,0.5166369074617044,1.0,1.0,1.0,0.9029317738150073,1.0,1.0,0.973526847404093,0.9667452160095401,0.9441272151014093,1.0,0.9577475335567329,0.9577475335567329,1.0,0.9600028337229702,0.975838380112999
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.1,,,,,,,0.3,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,80,40.0,,,,25,,,,,,,,,,40,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9824561403508771,0.9912280701754386,0.631578947368421,0.9649122807017544,0.9473684210526315,0.9736842105263158,0.8947368421052632,0.9824561403508771,0.9649122807017544,0.9385964912280702,0.9824561403508771,0.956140350877193,0.956140350877193,0.9824561403508771,0.9824561403508771,1.0,0.9736842105263158,0.9736842105263158
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,2.5e-05,,0.0001,2.5e-05
tr_time,0.3167249999999999,0.0876140000000003,0.34433499999999917,0.22859699999999883,0.059976000000000695,0.05641199999999991,0.01563200000000009,0.18770600000000037,1.2641799999999996,0.04765400000000053,0.4936769999999999,0.29913999999999996,3.3438620000000006,0.007837999999999568,0.4448810000000001,0.091866,0.46083399999999974,0.8585670000000003
train,0.978021978021978,1.0,0.6417582417582418,1.0,1.0,1.0,0.9032967032967033,1.0,1.0,0.9736263736263736,0.967032967032967,0.945054945054945,1.0,0.9582417582417583,0.9582417582417583,1.0,0.9604395604395605,0.9758241758241758
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,uniform,,,,,,,,
