,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,2e-06,,,,0.7,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9560273762928301,0.9390019435970703,0.48896434634974534,0.9564299597121931,0.8588988341217225,0.9473684210526315,0.8518618630214567,0.956244993396696,0.9649122807017544,0.9013593586615545,0.9645092460881936,0.9463967611336033,0.9652084757347914,0.9554882874504246,0.9393894618635302,0.956244993396696,0.9554882874504246,0.9823623542652152
f1_train,0.9889908435436422,1.0,0.5213343480980247,1.0,1.0,1.0,0.9052001340645077,1.0,1.0,0.9600028337229702,0.9667452160095401,0.9440288936087254,1.0,0.9623112448108121,0.8875457875457876,1.0,0.9509568821009499,0.9734541320748217
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.7,,,,,,,0.7,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,hinge
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,20,30.0,,,,40,,,,,,,,,,35,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.956140350877193,0.9385964912280702,0.631578947368421,0.956140350877193,0.8596491228070176,0.9473684210526315,0.8508771929824561,0.956140350877193,0.9649122807017544,0.9035087719298246,0.9649122807017544,0.9473684210526315,0.9649122807017544,0.956140350877193,0.9385964912280702,0.956140350877193,0.956140350877193,0.9824561403508771
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,0.0001,,,1.4285714285714285e-05,,0.0001,1.4285714285714285e-05
tr_time,0.2534240000000001,0.08372000000000002,0.01602300000000012,0.013876999999999917,0.013702999999999577,0.0700099999999999,0.01746099999999995,0.1698599999999999,1.06541,0.05304500000000001,0.5137530000000003,0.3406739999999999,2.1174399999999998,0.00741999999999976,0.051277999999999935,0.10440200000000033,0.041221000000000174,0.4702919999999997
train,0.989010989010989,1.0,0.643956043956044,1.0,1.0,1.0,0.9054945054945055,1.0,1.0,0.9604395604395605,0.967032967032967,0.945054945054945,1.0,0.9626373626373627,0.8857142857142857,1.0,0.9516483516483516,0.9736263736263736
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
