,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.8,1.3,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,,0.5,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9650731808230041,0.9473684210526315,0.5087432597836514,0.9037389854727317,0.8692898791365795,0.9736164257756981,0.9212409881140532,0.9560273762928301,0.9824561403508771,0.9285290148448043,0.9734654095556352,0.9463967611336033,0.9824561403508771,0.9557756825927252,0.9554882874504246,0.9384383268099622,0.9557756825927252,0.9649122807017544
f1_train,0.9978008807263491,1.0,0.5071092173132989,1.0,1.0,1.0,0.9165806806651877,1.0,1.0,0.9535114974745839,0.9577475335567329,0.9371408970071178,1.0,0.9440288936087254,0.9508742362515948,0.9978008807263491,0.9395512050974237,0.9737418061138763
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.7,,,,,,,0.6,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,80,45.0,,,,35,,,,,,,,,,15,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9649122807017544,0.9473684210526315,0.6403508771929824,0.9035087719298246,0.868421052631579,0.9736842105263158,0.9210526315789473,0.956140350877193,0.9824561403508771,0.9298245614035088,0.9736842105263158,0.9473684210526315,0.9824561403508771,0.956140350877193,0.956140350877193,0.9385964912280702,0.956140350877193,0.9649122807017544
tol,,,,,,,,2e-06,1e-08,,0.0001,0.0001,,,5e-05,,0.0001,5e-05
tr_time,0.3186530000000001,0.10478799999999966,0.016522000000000148,0.02131499999999953,0.01375599999999988,0.06379899999999994,0.014823999999999948,0.16812700000000014,1.1081320000000003,0.05740400000000001,0.4849690000000004,0.300281,2.5181370000000003,0.008394000000000013,0.048957999999999835,0.07674099999999973,0.04464699999999988,0.4486110000000001
train,0.9978021978021978,1.0,0.6373626373626373,1.0,1.0,1.0,0.9164835164835164,1.0,1.0,0.9538461538461539,0.9582417582417583,0.9384615384615385,1.0,0.945054945054945,0.9516483516483516,0.9978021978021978,0.9406593406593406,0.9736263736263736
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,uniform,,,,,,,,
