,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.8,1.2,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,,0.6,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,entropy,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9473684210526315,0.9476097712345062,0.48896434634974534,0.8874375720322704,0.9476097712345062,0.9650731808230041,0.8935277382645804,0.9478127136021872,0.9392169292360315,0.9649122807017544,0.9649122807017544,0.9470870627956459,0.9738579758273159,0.9215739274819476,0.8793522267206477,0.9306381896770913,0.9557756825927252,0.956244993396696
f1_train,0.9691548289109265,1.0,0.5259885587438721,1.0,1.0,1.0,0.9180916860266479,1.0,1.0,0.975748871504874,0.9601811981122327,0.9423150804989616,1.0,0.9207833586531811,0.909067298143763,1.0,0.9532999055100733,0.9581116871447826
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.3,,,,,,,0.9,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,hinge
metric,,,,,,,,,,,,,,manhattan,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,40,35.0,,,,25,,,,,,,,,,35,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,random,,,,,,,,,,,,,
test,0.9473684210526315,0.9473684210526315,0.631578947368421,0.8859649122807017,0.9473684210526315,0.9649122807017544,0.8947368421052632,0.9473684210526315,0.9385964912280702,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9736842105263158,0.9210526315789473,0.8771929824561403,0.9298245614035088,0.956140350877193,0.956140350877193
tol,,,,,,,,3.3333333333333333e-06,1e-08,,0.0001,0.0001,,,5e-05,,0.0001,2e-05
tr_time,0.3252430000000004,0.089287000000013,0.0958140000000185,0.12068100000001891,0.08392200000000116,0.061805999999990036,0.055711000000002286,0.1752570000000162,1.0973680000000172,0.06023299999998244,0.22522200000000225,0.5715629999999976,2.843211999999994,0.009218000000004167,0.16522800000001325,0.09795199999999227,0.1214650000000006,0.7543590000000222
train,0.9692307692307692,1.0,0.6461538461538462,1.0,1.0,1.0,0.9186813186813186,1.0,1.0,0.9758241758241758,0.9604395604395605,0.9428571428571428,1.0,0.9208791208791208,0.9076923076923077,1.0,0.9538461538461539,0.9582417582417583
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
