,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.6,1.3,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,,0.9,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9384383268099622,0.9126829520575103,0.48896434634974534,0.8777561328805144,0.7904390849380247,0.9380859556298152,0.8941741255912918,0.9294494170608614,0.9212409881140532,0.9212409881140532,0.8749257759784075,0.89196675900277,0.9560273762928301,0.8434381408065618,0.6998700113394364,0.9384383268099622,0.9380859556298152,0.8910421015684175
f1_train,0.9756833964839224,1.0,0.5071092173132989,1.0,1.0,1.0,0.8754245955218112,1.0,1.0,0.9515898302880552,0.937970252026073,0.940050718512257,0.9890044036317457,0.9172849372849373,0.7262941513780696,1.0,0.9512623408776287,0.9375814863102998
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.8,,,,,,,0.8,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,35.0,,,,30,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9385964912280702,0.9122807017543859,0.631578947368421,0.8771929824561403,0.7894736842105263,0.9385964912280702,0.8947368421052632,0.9298245614035088,0.9210526315789473,0.9210526315789473,0.8771929824561403,0.8947368421052632,0.956140350877193,0.8421052631578947,0.7456140350877193,0.9385964912280702,0.9385964912280702,0.8947368421052632
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,2.5e-05,,0.0001,0.0001
tr_time,0.3020520000000002,0.06921300000000041,0.014818999999999694,0.012539999999999552,0.009986999999999746,0.05489800000000011,0.015430000000000277,0.15310899999999972,0.6845270000000001,0.05281400000000014,0.5019359999999997,0.31052500000000016,2.634994,0.007810000000000095,0.05047500000000005,0.11889600000000033,0.042082000000000175,0.48220699999999983
train,0.9758241758241758,1.0,0.6373626373626373,1.0,1.0,1.0,0.8791208791208791,1.0,1.0,0.9516483516483516,0.9384615384615385,0.9406593406593406,0.989010989010989,0.9164835164835164,0.7626373626373626,1.0,0.9516483516483516,0.9384615384615385
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,uniform,,,,,,,,
