,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.0,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9647247085304307,0.9824561403508771,0.664819944598338,0.9122807017543859,0.9384383268099622,0.9736164257756981,0.9294494170608614,0.9736164257756981,0.9734654095556352,0.9736164257756981,0.9823623542652152,0.9734654095556352,0.9560273762928301,0.9736164257756981,0.9737469960380176,0.9647247085304307,0.9645092460881936,0.9736164257756981
f1_train,0.9734911355372439,1.0,0.6810823403170901,1.0,1.0,1.0,0.9358015917506158,1.0,1.0,0.9801835183785562,0.9712621958446357,0.9487698513927033,1.0,0.9164835164835164,0.9562363435231271,1.0,0.9599393508000429,0.9712621958446357
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.3,,,,,,,0.4,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,60,15.0,,,,20,,,,,,,,,,20,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9649122807017544,0.9824561403508771,0.7105263157894737,0.9122807017543859,0.9385964912280702,0.9736842105263158,0.9298245614035088,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9824561403508771,0.9736842105263158,0.956140350877193,0.9736842105263158,0.9736842105263158,0.9649122807017544,0.9649122807017544,0.9736842105263158
tol,,,,,,,,2e-06,1e-08,,0.0001,0.0001,,,1.4285714285714285e-05,,0.0001,1.25e-05
tr_time,0.26396200000000003,0.04154599999999986,0.016812999999999967,0.013942000000000121,0.015238000000000085,0.04622200000000021,0.01639400000000002,0.1545809999999994,0.6441819999999998,0.05288100000000018,0.48548300000000033,0.3107420000000003,2.5703240000000003,0.007598999999999911,0.04294100000000034,0.08952699999999991,0.04135700000000009,0.5203669999999998
train,0.9736263736263736,1.0,0.7252747252747253,1.0,1.0,1.0,0.9362637362637363,1.0,1.0,0.9802197802197802,0.9714285714285714,0.9494505494505494,1.0,0.9164835164835164,0.9560439560439561,1.0,0.9604395604395605,0.9714285714285714
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,0,,
weights,,,,,,,,,,uniform,,,,,,,,
