,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,relu,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,,0.5,0.001
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.18524373880417358,0.6567978131752839,0.01915757066890568,0.4303859714714219,0.3735574930081527,0.6267731003720942,0.1731900309050478,0.6921733483910477,0.7250557345799649,0.6911334943403584,0.9301971884141682,0.710984370086478,0.9392797885853869,0.21739423980189154,0.8893972633655395,0.5970623163066745,0.9304106322041951,0.9246455862173977
f1_train,0.22674378507498122,1.0,0.030949473920146825,1.0,1.0,1.0,0.1772455810211739,1.0,0.996527398164153,1.0,0.9567699152969007,0.7414344371294679,0.9589163594489531,0.20610724253466378,0.9115408879530332,1.0,0.9487894635983564,0.942844101376983
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.5,,,,,,,0.3,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,modified_huber
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,70,45.0,,,,45,,,,,,,,,,30,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.25277777777777777,0.6611111111111111,0.10277777777777777,0.4305555555555556,0.37222222222222223,0.6388888888888888,0.25,0.6916666666666667,0.7277777777777777,0.6916666666666667,0.9305555555555556,0.7055555555555556,0.9388888888888889,0.2388888888888889,0.8888888888888888,0.6055555555555555,0.9305555555555556,0.925
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,5e-05,,0.0001,1.25e-05
tr_time,1.2007290000000008,1.7944440000000004,0.18177799999999777,0.4181430000000006,0.02247899999999703,0.1505700000000001,0.22014000000000067,5.226552999999996,25.593424,0.10956300000000141,1.979262999999996,2.907213999999998,5.349329999999998,0.011788000000002796,0.5369440000000019,0.27791699999999864,0.24087499999999906,2.0242140000000006
train,0.2894919972164231,1.0,0.10716771050800278,1.0,1.0,1.0,0.25191370911621436,1.0,0.9965205288796103,1.0,0.9568545581071677,0.7383437717466945,0.9589422407794015,0.23938761308281142,0.9123173277661796,1.0,0.9491997216423104,0.942240779401531
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
