,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.1,1.0,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,,1.3,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7626897977542099,0.9694641573439233,0.019254571026722924,0.8565688962271725,0.6449502085446054,0.975055370485968,0.928461627510055,0.9584807615352184,0.9805550196154094,0.9832817015943878,0.9776604652436861,0.9721013410789534,0.9752820709180359,0.9592413875858148,0.9721744564425823,0.9776500896691753,0.9610140343486873,0.9638841510422445
f1_train,0.787398003325251,1.0,0.06618036738308955,1.0,1.0,1.0,0.9461658933848767,1.0,1.0,1.0,0.981163957565991,0.9603578731077218,1.0,0.9330959278965313,0.9786915713920624,1.0,0.9424994135149966,0.9652096088425517
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.8,,,,,,,0.2,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,modified_huber
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,90,40.0,,,,40,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7611111111111111,0.9694444444444444,0.10277777777777777,0.8583333333333333,0.6472222222222223,0.975,0.9277777777777778,0.9583333333333334,0.9805555555555555,0.9833333333333333,0.9777777777777777,0.9722222222222222,0.975,0.9583333333333334,0.9722222222222222,0.9777777777777777,0.9611111111111111,0.9638888888888889
tol,,,,,,,,3.3333333333333333e-06,1e-08,,0.0001,0.0001,,,1.6666666666666667e-05,,0.0001,0.0001
tr_time,1.3261859999999999,1.2346269999999997,0.19172900000000048,0.4769760000000005,0.02054199999999895,0.1267269999999998,0.2602530000000005,3.962496999999999,19.315854999999996,0.1025589999999994,0.9558540000000022,2.8437799999999998,4.0878689999999995,0.011899999999998911,0.2808520000000012,0.32332099999999997,0.33860500000000116,1.9856680000000004
train,0.7856645789839944,1.0,0.12526096033402923,1.0,1.0,1.0,0.9457202505219207,1.0,1.0,1.0,0.9812108559498957,0.9603340292275574,1.0,0.9324982602644398,0.9791231732776617,1.0,0.942936673625609,0.965205288796103
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
