,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.9,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,,1.0,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7881012148030507,0.9694358632770749,0.8223985562755479,0.8614729879748723,0.8120447701519795,0.9861470625555133,0.8840648136597753,0.9610672932241523,0.9777272066923016,0.9888801183714545,0.961163534591296,0.9722510650478392,0.9608113614961337,0.9082755086483607,0.9449658954582708,0.9694238605986741,0.9386426751671431,0.9587210093204858
f1_train,0.8137312471393899,1.0,0.8520263897473825,1.0,1.0,1.0,0.8771803451715545,1.0,1.0,1.0,0.9958218166257774,0.9805151883110976,1.0,0.8977133914225276,0.9867209110025403,1.0,0.9489666978287118,0.9729880286027778
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.7,,,,,,,0.2,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,log
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,45.0,,,,35,,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7888888888888889,0.9694444444444444,0.8222222222222222,0.8611111111111112,0.8111111111111111,0.9861111111111112,0.8833333333333333,0.9611111111111111,0.9777777777777777,0.9888888888888889,0.9611111111111111,0.9722222222222222,0.9611111111111111,0.9083333333333333,0.9444444444444444,0.9694444444444444,0.9388888888888889,0.9583333333333334
tol,,,,,,,,1.25e-06,1e-08,,0.0001,0.0001,,,3.3333333333333335e-05,,0.0001,1.25e-05
tr_time,0.9467359999999871,0.47777999999999565,0.1263699999999517,0.30146799999999985,0.02136600000000044,0.11504499999995232,0.1442840000000274,2.117182000000014,12.087748000000033,0.13832300000001396,0.7195179999999937,2.4260720000000333,2.8395889999999895,0.0121159999999918,0.4731710000000362,0.17658400000004804,0.17018999999999096,1.970218999999986
train,0.8128044537230341,1.0,0.8524704244954767,1.0,1.0,1.0,0.8768267223382046,1.0,1.0,1.0,0.9958246346555324,0.9805149617258176,1.0,0.8970076548364648,0.9867780097425192,1.0,0.9491997216423104,0.9728601252609603
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,distance,,,,,,,,
