,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.6,,,,,,,,,,3.3333333333333333e-06,,,,0.6,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7707250945791534,0.9385681440078669,0.5390679866553426,0.859717805773051,0.8521829670835471,0.9441353460956503,0.868878773344058,0.9223877204120305,0.9301792588162452,0.9324971636321081,0.8735816908227387,0.8406616900895707,0.9078625299872136,0.793425100320513,0.7903822951971028,0.9390957232338805,0.7143794708979725,0.8541356687257634
f1_train,0.7929749634655638,1.0,0.5556364626642498,1.0,1.0,1.0,0.8755915551427734,1.0,1.0,1.0,0.8856406976331327,0.8515357664856554,1.0,0.8338158802334286,0.7913936226662441,1.0,0.7419621565135185,0.8663328093687678
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.7,,,,,,,0.3,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,35.0,,,,40,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7666666666666667,0.9388888888888889,0.5472222222222223,0.8611111111111112,0.8527777777777777,0.9444444444444444,0.8666666666666667,0.9222222222222223,0.9305555555555556,0.9333333333333333,0.8722222222222222,0.8444444444444444,0.9083333333333333,0.7944444444444444,0.7944444444444444,0.9388888888888889,0.7527777777777778,0.85
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,1.1111111111111112e-05,,0.0001,1.25e-05
tr_time,0.38951899999999995,0.16240100000000002,0.021891999999999356,0.031297999999999604,0.012972999999998791,0.11329699999999976,0.020183000000000284,1.3214319999999997,8.433054000000002,0.0672050000000004,0.5130429999999997,1.6577039999999998,7.817097999999999,0.009205000000000574,0.3276729999999999,0.2192179999999997,0.059034000000000475,0.765879
train,0.7940153096729298,1.0,0.5741127348643006,1.0,1.0,1.0,0.8754349338900487,1.0,1.0,1.0,0.8865692414752957,0.8552540013917884,1.0,0.8343771746694503,0.8030619345859429,1.0,0.7773138482950591,0.8656924147529576
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,0,,
weights,,,,,,,,,,distance,,,,,,,,
