,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.6666666666666667e-06,,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7297316933686671,0.9496399200276878,0.018181818181818184,0.8828178250217371,0.8530381706344788,0.9495892327148213,0.8995878156025816,0.9250427346965997,0.9472281710589949,0.9637648530342957,0.9094154054401837,0.8759689460479579,0.9582071851637609,0.8481294631283153,0.7862040215043599,0.9356468119979434,0.8279496524516694,0.8999871399238418
f1_train,0.7579018781574682,1.0,0.025692937954373805,1.0,1.0,1.0,0.8907298764513587,1.0,1.0,1.0,0.8929916605601785,0.8719769083840422,1.0,0.8542119955063235,0.7985601886236703,1.0,0.8195684831920078,0.8850945711769986
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.9,,,,,,,0.4,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,70,45.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,sag,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7333333333333333,0.95,0.1,0.8833333333333333,0.8555555555555555,0.95,0.9,0.925,0.9472222222222222,0.9638888888888889,0.9111111111111111,0.8777777777777778,0.9583333333333334,0.85,0.8138888888888889,0.9361111111111111,0.8361111111111111,0.9027777777777778
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,5e-05,,,0.0001,,0.0001,0.0001
tr_time,0.37221800000000016,0.24794500000000008,0.027137999999999884,0.01918000000000042,0.016904000000000252,0.12125900000000023,0.017221999999999404,1.1625669999999992,8.313845999999998,0.06540699999999955,0.46306399999999925,0.518545,7.8677209999999995,0.008151999999999937,0.09000599999999981,0.15391500000000002,0.09383499999999989,0.7916910000000001
train,0.7620041753653445,1.0,0.10508002783576896,1.0,1.0,1.0,0.8914405010438413,1.0,1.0,1.0,0.894919972164231,0.8740431454418929,1.0,0.8538622129436325,0.8295059151009047,1.0,0.8295059151009047,0.8872651356993737
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,1,,
weights,,,,,,,,,,distance,,,,,,,,
