,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.1111111111111112e-06,,,,0.5,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.72471466706558,0.9580762934990015,0.018181818181818184,0.8866800633321309,0.8083167061537716,0.9833168430814581,0.9044731341764799,0.9392578506173982,0.964060834643668,0.9805506823418644,0.9091613510614402,0.8865371679583373,0.9413766502378206,0.8675450862152506,0.8264776646012166,0.9833687911334061,0.7745797212888776,0.9017249083006044
f1_train,0.7371365916894417,1.0,0.029856511249036728,1.0,1.0,1.0,0.8860714350560179,1.0,1.0,1.0,0.8795344282152544,0.8531072909315329,1.0,0.8361241244653171,0.7978712138084129,1.0,0.7738116575789905,0.874065306344575
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.7,,,,,,,0.2,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,80,35.0,,,,45,,,,,,,,,,40,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7333333333333333,0.9583333333333334,0.1,0.8861111111111111,0.8083333333333333,0.9833333333333333,0.9055555555555556,0.9388888888888889,0.9638888888888889,0.9805555555555555,0.9111111111111111,0.8888888888888888,0.9416666666666667,0.8666666666666667,0.8277777777777777,0.9833333333333333,0.7944444444444444,0.9027777777777778
tol,,,,,,,,2e-06,1e-08,,0.0001,0.0001,,,0.0001,,0.0001,3.3333333333333335e-05
tr_time,0.41602000000000006,0.20150099999999993,0.018968000000000096,0.021112000000000464,0.01745999999999981,0.13271599999999983,0.018470999999999904,1.481409000000001,12.519093000000002,0.08538200000000007,0.410222000000001,1.7807559999999998,7.908764,0.008904999999999497,0.368563,0.15201200000000004,0.09544900000000034,0.9308589999999999
train,0.7501739735560194,1.0,0.10716771050800278,1.0,1.0,1.0,0.8872651356993737,1.0,1.0,1.0,0.8816979819067502,0.8559498956158664,1.0,0.8357689631176062,0.7995824634655533,1.0,0.7891440501043842,0.8754349338900487
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
