,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.0,1.2,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,,0.5,0.0011
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9665831244778613,0.8981620718462825,0.7248677248677249,0.79640768588137,0.7613199665831246,1.0,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.8,1.0,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9333333333333333,0.9665831244778613,0.9665831244778613
f1_train,1.0,1.0,0.6553011707650884,1.0,1.0,1.0,0.8583111944574673,1.0,1.0,1.0,0.9585377923633901,0.9171555006689307,1.0,0.875710567032818,0.8776845871225512,1.0,0.9254102203469292,0.9419091952224482
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.7,,,,,,,0.1,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,60,20.0,,,,40,,,,,,,,,,35,,
n_neighbors,,,,,,,,,,7,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,random,best,,,,,,,,,,,,,
test,0.9666666666666667,0.9,0.7333333333333333,0.8,0.7666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667
tol,,,,,,,,3.3333333333333333e-06,1e-08,,0.0001,0.0001,,,1.6666666666666667e-05,,0.0001,1.4285714285714285e-05
tr_time,0.2480610000000001,0.03810899999999995,0.01630599999999971,0.01106499999999988,0.009220999999999702,0.05426099999999989,0.014445999999999959,0.293015,0.7499619999999996,0.042253000000000096,0.09595200000000004,0.3412090000000001,0.26925299999999996,0.007220999999999922,0.06551399999999985,0.08984499999999995,0.04581400000000002,0.48364399999999996
train,1.0,1.0,0.6583333333333333,1.0,1.0,1.0,0.8583333333333333,1.0,1.0,1.0,0.9583333333333334,0.9166666666666666,1.0,0.875,0.8833333333333333,1.0,0.925,0.9416666666666667
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
