,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.1,0.6,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,,1.0,0.0009
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9326599326599326,0.9326599326599326,0.16666666666666666,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.8976982097186702,0.7340930674264007,1.0,0.8,0.9333333333333333,0.9326599326599326,0.7340930674264007,0.9326599326599326
f1_train,0.9497171590194846,1.0,0.2012966965112689,1.0,1.0,1.0,0.8745098039215686,1.0,1.0,1.0,0.8814814814814814,0.8465473145780051,1.0,0.8249726519768714,0.8666813794263075,0.9833229101521785,0.8137566137566138,0.9329562120259794
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.8,,,,,,,0.1,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,perceptron
metric,,,,,,,,,,,,,,manhattan,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,60,35.0,,,,35,,,,,,,,,,10,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,3,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,random,,,,,,,,,,,,,
test,0.9333333333333333,0.9333333333333333,0.3333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9,0.7666666666666667,1.0,0.8,0.9333333333333333,0.9333333333333333,0.7666666666666667,0.9333333333333333
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,5e-05,,0.0001,1.1111111111111112e-05
tr_time,0.264143,0.04040599999999994,0.01392099999999985,0.009942000000000117,0.009458999999999662,0.05801299999999987,0.0143150000000003,0.2648200000000003,0.699586,0.046678,0.0864790000000002,0.3504259999999997,0.3777400000000002,0.006753999999999927,0.058894,0.07527700000000026,0.04869700000000021,0.5224749999999996
train,0.95,1.0,0.35,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8833333333333333,0.85,1.0,0.825,0.8666666666666667,0.9833333333333333,0.8166666666666667,0.9333333333333333
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
