,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.9,0.5,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,,0.6,0.0009
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.8976982097186702,0.9326599326599326,0.16666666666666666,0.8976982097186702,0.8976982097186702,0.9665831244778613,0.9326599326599326,0.8976982097186702,0.8976982097186702,0.8653198653198653,0.8294970161977834,0.8294970161977834,0.8976982097186702,0.9665831244778613,0.8666666666666667,0.9326599326599326,0.7612958226768968,0.9326599326599326
f1_train,1.0,1.0,0.20052240305404864,1.0,1.0,1.0,0.9916653643798511,1.0,1.0,1.0,0.924894382725708,0.8908308402876187,1.0,0.974996093139553,0.9502933004013585,1.0,0.8733976895078335,0.9916653643798509
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,squared_hinge
metric,,,,,,,,,,,,,,manhattan,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,10,5.0,,,,10,,,,,,,,,,15,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9,0.9333333333333333,0.3333333333333333,0.9,0.9,0.9666666666666667,0.9333333333333333,0.9,0.9,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.9,0.9666666666666667,0.8666666666666667,0.9333333333333333,0.7666666666666667,0.9333333333333333
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,3.3333333333333335e-05,,0.0001,0.0001
tr_time,0.22930699999999993,0.029958999999999847,0.01532800000000023,0.009717000000000198,0.009335000000000093,0.04312099999999974,0.014782000000000295,0.23656299999999986,0.36450899999999997,0.042675999999999714,0.09289799999999993,0.36221900000000007,0.3024499999999999,0.008871000000000073,0.05808100000000005,0.08356899999999978,0.06607400000000041,0.6141889999999997
train,1.0,1.0,0.35,1.0,1.0,1.0,0.9916666666666667,1.0,1.0,1.0,0.925,0.8916666666666667,1.0,0.975,0.95,1.0,0.875,0.9916666666666667
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,0,,
weights,,,,,,,,,,distance,,,,,,,,
