,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.2,1.0,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,,1.0,0.0011
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.9665831244778613,0.9665831244778613,0.28654970760233917,0.9665831244778613,0.9665831244778613,0.9665831244778613,0.9326599326599326,0.9665831244778613,0.9665831244778613,1.0,0.9665831244778613,0.8976982097186702,0.9665831244778613,0.9326599326599326,0.861111111111111,0.9665831244778613,0.8294970161977834,1.0
f1_train,0.9749960931395532,0.9916653643798509,0.24611708482676226,1.0,1.0,1.0,0.9582746570698378,1.0,1.0,0.9582746570698378,0.9582746570698378,0.8908308402876187,0.974996093139553,0.9499687304565353,0.8797487065779748,1.0,0.8476190476190477,0.974996093139553
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.5,,,,,,,0.6,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,squared_hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,70,15.0,,,,25,,,,,,,,,,15,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,sag,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9666666666666667,0.9666666666666667,0.4,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9,0.9666666666666667,0.9333333333333333,0.8666666666666667,0.9666666666666667,0.8333333333333334,1.0
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,2.5e-05,,0.0001,2.5e-05
tr_time,0.24337599999999981,0.032272999999999996,0.014495999999999842,0.011925000000000185,0.009320999999999913,0.055165999999999826,0.013631999999999866,0.24498599999999993,0.7132340000000004,0.042723000000000066,0.08447200000000032,0.31806599999999996,0.318943,0.006596000000000046,0.05536200000000013,0.07135000000000002,0.053202000000000194,0.525166
train,0.975,0.9916666666666667,0.375,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,0.8916666666666667,0.975,0.95,0.8833333333333333,1.0,0.85,0.975
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
