,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,,1.1,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7457992782834395,0.9214411820510428,0.022757192396609296,0.8397013101215586,0.8202726685316493,0.9367972405979097,0.7998992902171193,0.9221950432014198,0.941665509019813,0.9500402519797206,0.8475970433385938,0.8235571724591212,0.9298870736807504,0.7677611187158465,0.7642454419477234,0.9278725433977308,0.7486115623658232,0.8250773243616629
f1_train,0.7452257816517355,1.0,0.023199254016079925,1.0,1.0,1.0,0.7984469774503091,0.963231453349801,0.9966429043739276,1.0,0.8463882668913085,0.8176601889817462,0.9330129433243406,0.7654443626446195,0.761487864386731,1.0,0.744592383556597,0.8212114393203485
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.4,,,,,,,0.3,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,hinge
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,45.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,6,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,saga,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7456428571428572,0.9215714285714286,0.1125,0.8396428571428571,0.8200714285714286,0.9369285714285714,0.7995,0.9222142857142858,0.9416428571428571,0.95,0.8485714285714285,0.8262857142857143,0.9298571428571428,0.7664285714285715,0.7662142857142857,0.928,0.7595714285714286,0.8279285714285715
tol,,,,,,,,2.5e-06,1e-08,,0.0001,2e-05,,,1.25e-05,,0.0001,1.1111111111111112e-05
tr_time,14.736933999999998,35.390488,0.36312300000000164,3.7467320000000655,1.0932760000000599,2.0671269999999993,0.31701799999999025,83.32932400000004,30.690436999999974,1.1510629999999935,3.8325170000000526,5.490182999999988,302.723014,0.16656000000000404,1.021661999999992,9.249738000000008,0.6572380000000067,7.576608000000007
train,0.7448571428571429,1.0,0.11275,1.0,1.0,1.0,0.7980357142857143,0.96325,0.9966428571428572,1.0,0.8472142857142857,0.82025,0.9330178571428571,0.76425,0.7634464285714285,1.0,0.7557678571428571,0.8240178571428571
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
