,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,relu,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.6666666666666667e-06,,,,0.5,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,entropy,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.7988026254462556,0.9343802117760335,0.022752808988764042,0.8396259976168245,0.8168078873801321,0.9500099771093408,0.8358695129149565,0.9295235173055857,0.9522989531768465,0.9612644565690229,0.8531626929513494,0.8308807038863687,0.9438140807137385,0.7771000553381018,0.651895376430584,0.9387854639403312,0.7705736758979675,0.8339165222594854
f1_train,0.7981641447057252,0.9999642855757378,0.0232354023126585,1.0,1.0,1.0,0.8320704497704352,0.9675357951354409,0.9979285051940137,1.0,0.8536356398915006,0.827129277540403,0.9447969941796791,0.7779309205680528,0.6451550744440322,0.999982142872861,0.7608627020005768,0.8340291725261816
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.5,,,,,,,0.3,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,80,45.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,lbfgs,adam,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7977857142857143,0.9344285714285714,0.1125,0.8397142857142857,0.8167142857142857,0.9500714285714286,0.8357857142857142,0.9295,0.9522857142857143,0.9612857142857143,0.8537857142857143,0.8322857142857143,0.9438571428571428,0.7751428571428571,0.651,0.9388571428571428,0.7767857142857143,0.8335714285714285
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,2.5e-05,,0.0001,1.25e-05
tr_time,13.214552999999995,40.95561000000001,0.36534399999999323,4.39048200000002,0.5301389999999628,2.550089000000014,0.3139500000000339,81.07275199999992,30.967941999999994,1.1784770000000435,4.48145199999999,28.350655999999987,163.050069,0.1635510000000977,5.932136000000014,30.709506000000005,0.6630869999999618,34.294467999999995
train,0.7970714285714285,0.9999642857142857,0.11276785714285714,1.0,1.0,1.0,0.8321785714285714,0.9675535714285715,0.9979285714285714,1.0,0.8543035714285714,0.8288928571428571,0.944875,0.776375,0.6443035714285714,0.9999821428571428,0.7678571428571429,0.8336607142857143
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,0,,
weights,,,,,,,,,,distance,,,,,,,,
