,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,2e-06,,,,1.2,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,entropy,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.7089373931904345,0.9505985194267518,0.022752808988764042,0.8504902021150259,0.7755428536304051,0.957007630432733,0.8744082214831668,0.9405137885516779,0.9670437187296046,0.9713643298053043,0.9129260660297152,0.8980693690524322,0.9519733206848326,0.8419044108459052,0.878688179147851,0.9538519037863132,0.8422346949413596,0.8975242726240339
f1_train,0.7164591718856862,0.9999821428727169,0.024639920790418834,1.0,1.0,1.0,0.8767317398510963,0.985153795690866,1.0,1.0,0.916177449785288,0.9017679537165606,0.9564401810491419,0.8462008159323912,0.8769594652471099,1.0,0.8460390138512632,0.90095659916709
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.4,,,,,,,0.3,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,40.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,saga,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7093571428571429,0.9507142857142857,0.1125,0.8505,0.7757142857142857,0.9570714285714286,0.8736428571428572,0.9405714285714286,0.9670714285714286,0.9714285714285714,0.9132857142857143,0.8986428571428572,0.952,0.8419285714285715,0.8752142857142857,0.9539285714285715,0.8444285714285714,0.8972857142857142
tol,,,,,,,,1e-05,1e-08,,2.5e-05,5e-05,,,0.0001,,0.0001,3.3333333333333335e-05
tr_time,42.25689800000001,156.256903,0.38599199999998746,14.629817000000003,2.152966000000106,4.637022999999999,0.3507539999999949,333.2162890000002,62.16557700000021,2.9201869999999985,27.543904999999995,23.135244,322.592993,0.2516200000000026,2.2613360000000284,55.78169600000001,0.9384450000000015,88.77015499999999
train,0.7168214285714286,0.9999821428571428,0.11346428571428571,1.0,1.0,1.0,0.8760892857142857,0.9851607142857143,1.0,1.0,0.9164464285714286,0.9022857142857142,0.9564464285714286,0.8462142857142857,0.87325,1.0,0.8480714285714286,0.9007321428571429
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,0,,
weights,,,,,,,,,,distance,,,,,,,,
