,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,relu,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,1.6666666666666667e-06,,,,0.5,0.0008
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.7092043863432684,0.8506071215981356,0.5062715004566952,0.7809618513155847,0.7484501505471611,0.8562955115163724,0.7170546610866578,0.8439421235952947,0.8628860835954661,0.8443330024254765,0.7482228414883464,0.721011171472199,0.8379866182256167,0.687511448923348,0.7006516763342788,0.8604459171670978,0.6014345296332576,0.7194862071329705
f1_train,0.7126215895505846,0.9994999652077913,0.507622371054662,1.0,1.0,1.0,0.7147245083254725,0.8894680367286238,0.9291113425817754,1.0,0.7469808106984653,0.7167020250985475,0.8435717770825791,0.684498547517224,0.702460801314356,0.9998749930853696,0.6015674480085135,0.7160792791336524
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.4,,,,,,,0.3,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,log
metric,,,,,,,,,,,,,,cosine,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,50,45.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,7,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,liblinear,adam,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7064285714285714,0.851,0.5157857142857143,0.7811428571428571,0.7482857142857143,0.8569285714285715,0.7222857142857143,0.8444285714285714,0.8630714285714286,0.8453571428571428,0.7532142857142857,0.7295,0.839,0.6905714285714286,0.7033571428571429,0.8610714285714286,0.6452857142857142,0.7281428571428571
tol,,,,,,,,1.25e-06,1e-08,,5e-05,0.0001,,,3.3333333333333335e-05,,0.0001,1.25e-05
tr_time,5.663935999999978,12.097690999999998,0.3594439999999963,1.3575910000000135,0.4661909999999807,2.0606089999999995,0.2967130000000111,42.15411,26.038850000000025,0.8952329999999904,3.063068000000044,4.438312999999994,40.34981099999999,0.11915100000001644,5.117000999999988,3.8586520000000064,0.6538559999999904,6.440611000000018
train,0.7094642857142858,0.9995,0.5180178571428572,1.0,1.0,1.0,0.7203571428571428,0.8896607142857142,0.9291964285714286,1.0,0.7516607142857142,0.7255,0.8443214285714286,0.6876428571428571,0.7055178571428572,0.999875,0.6444642857142857,0.7249821428571429
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,distance,,,,,,,,
