,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,2.5e-06,,,,0.5,0.0009
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.7144020790352099,0.8794140605577264,0.02275573107301098,0.8176992567115459,0.7880289615214563,0.8950302741783531,0.7647691717365049,0.870289262167136,0.8958961901731839,0.9047248511985336,0.7882045542253062,0.7576232461369274,0.8817843934872732,0.7414507788690933,0.5795908250534688,0.890343027971957,0.6707295466726045,0.7550797849745954
f1_train,0.7122170816128041,0.9997321441037726,0.022946879761837864,1.0,1.0,1.0,0.7601973258006651,0.9047812026601649,0.9657327120035255,1.0,0.7829223540813482,0.7552183796832651,0.8859051912987951,0.735401540023526,0.5783941260509001,0.9999464300576001,0.6631220708414087,0.7526626513397625
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.3,,,,,,,0.2,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,log
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,90,45.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,7,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,sag,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.7107857142857142,0.8797857142857143,0.1125,0.8175714285714286,0.7882857142857143,0.8954285714285715,0.7644285714285715,0.8705714285714286,0.896,0.9049285714285714,0.7904285714285715,0.763,0.8822142857142857,0.7418571428571429,0.596,0.8907857142857143,0.6967857142857142,0.7605
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,2.5e-05,,0.0001,2e-05
tr_time,10.456888,18.145989,0.3653679999999895,1.8996609999999805,0.6080959999999891,1.712921999999999,0.3115969999999919,48.42722100000003,26.38394199999999,0.9133089999999982,3.2466199999999503,4.789270999999999,300.131177,0.1716380000000015,4.901696999999999,14.061104000000007,0.8962810000000019,6.766795999999999
train,0.7082142857142857,0.9997321428571428,0.112625,1.0,1.0,1.0,0.7600535714285714,0.9049107142857142,0.96575,1.0,0.7850178571428571,0.7605535714285714,0.8860892857142857,0.7360892857142857,0.5936785714285714,0.9999464285714286,0.6901964285714286,0.7581785714285715
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
