,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,3.3333333333333333e-06,,,,1.0,0.0008
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.6905371155130509,0.876422059958467,0.022752808988764042,0.8164625576043357,0.7885027851416911,0.8942737707930288,0.7548500573282739,0.8740918997669673,0.897465771286126,0.9027983714717606,0.7751465777105835,0.744822909840025,0.8780846616802209,0.7268520969632777,0.6032746937197514,0.8892442313604255,0.6445151552224275,0.7412863363892207
f1_train,0.6872598192957876,0.9996785515835153,0.022982837169917194,1.0,1.0,1.0,0.7501278618621662,0.9156985847944268,0.9584533222629328,1.0,0.7679690851457386,0.7402026688914707,0.8744230948662444,0.7243665787431368,0.60116854953096,0.9999464284445202,0.6428756092800036,0.7345923170596466
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.6,,,,,,,0.3,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,log
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,50,40.0,,,,45,,,,,,,,,,45,,
n_neighbors,,,,,,,,,,7,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,saga,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.6877857142857143,0.8767857142857143,0.1125,0.8163571428571429,0.7884285714285715,0.8946428571428572,0.756,0.8743571428571428,0.8975714285714286,0.9029285714285714,0.7776428571428572,0.7497857142857143,0.8783571428571428,0.7277142857142858,0.6300714285714286,0.8895,0.6741428571428572,0.7466428571428572
tol,,,,,,,,1.4285714285714286e-06,1e-08,,0.0001,2e-05,,,1.6666666666666667e-05,,0.0001,5e-05
tr_time,6.374454,15.57769300000001,0.3796089999999879,1.8953419999998005,0.6005640000000767,1.7223749999999995,0.31508999999999787,47.78802799999994,26.107015000000047,1.1211000000000126,3.1228429999998752,4.771895000000001,319.2038520000001,0.19572199999993245,4.986245999999994,13.721947,0.6648349999999823,6.418896000000018
train,0.6845714285714286,0.9996785714285714,0.11264285714285714,1.0,1.0,1.0,0.7515,0.9158035714285714,0.9584642857142858,1.0,0.7710178571428571,0.7460535714285714,0.8745714285714286,0.7256428571428571,0.6260714285714286,0.9999464285714286,0.6729285714285714,0.7409464285714286
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
