,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,0.7,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.6666666666666667e-06,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.5125595238095239,0.8441666666666666,0.0012195121951219514,0.5198611111111111,0.31,0.8858333333333333,0.800952380952381,0.4932142857142857,0.8133333333333332,0.8641666666666665,0.96,0.9866666666666667,0.8617857142857144,0.96,0.8442857142857143,0.9433333333333334,0.9349999999999998
f1_train,0.6789315514586411,1.0,0.37931397820286705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,invscaling,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,cosine,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,
n_estimators,50,35.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.5125,0.8625,0.025,0.525,0.325,0.9,0.825,0.525,0.825,0.875,0.9625,0.9875,0.8625,0.9625,0.8625,0.95,0.9375
tol,,,,,,,,2e-06,1e-08,,0.0001,0.0001,,,,0.0001,3.3333333333333335e-05
tr_time,0.8275709999999998,1.006341,0.10916100000000029,0.34410099999999844,0.016791999999998808,0.12377900000000075,0.27384300000000117,4.011220999999999,30.533493,0.06772100000000059,1.485006000000002,4.109344,1.766166000000002,0.011962000000000472,0.46526899999999927,0.2330129999999997,1.1309909999999999
train,0.675,1.0,0.290625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
