,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.6,1.4,,,,,
activation,,,,,,,,,,,,,relu,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.25e-06,,,0.8,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.505595238095238,0.9341666666666665,0.0012195121951219514,0.5719047619047619,0.5234523809523809,0.9466666666666665,0.9225,0.7549999999999999,0.925,0.8642857142857142,0.9733333333333333,0.96,0.9600000000000002,0.8883333333333333,0.9341666666666665,0.9733333333333333,0.9733333333333334
f1_train,0.7897273649289778,1.0,0.324355360401872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9594829598506068,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,
n_estimators,90,45.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l2
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.5125,0.9375,0.025,0.625,0.55,0.95,0.925,0.7625,0.9375,0.875,0.975,0.9625,0.9625,0.8875,0.9375,0.975,0.975
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.1111111111111112e-05
tr_time,0.9950460000000021,1.4506339999999227,0.22291199999995115,0.39969699999994646,0.016259999999988395,0.11976900000001933,0.31535299999995914,3.5796960000000126,29.59029200000009,0.06513900000004469,1.3865029999999479,4.915583000000083,1.7551320000000032,0.012445999999954438,0.20522400000004382,0.20555000000001655,1.145699000000036
train,0.775,1.0,0.24375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.959375,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
