,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,1.0,0.0011
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.5275595238095238,0.8833333333333334,0.0012195121951219514,0.506904761904762,0.5709523809523809,0.9599999999999997,0.9108333333333334,0.5354761904761904,0.7958333333333332,0.9466666666666665,0.9475,0.8858333333333333,0.8908333333333334,0.8574999999999999,0.8966666666666665,0.7491666666666666,0.9075
f1_train,0.8158530440148087,1.0,0.07238095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9779645191409898,0.9481814831195639,1.0,0.9587558356676006,1.0,0.8432906455429675,0.9782655167330091
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,constant,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,45.0,,,,45,,,,,,,,,35,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.5375,0.8875,0.025,0.55,0.5875,0.9625,0.9125,0.5375,0.8,0.95,0.95,0.9,0.9125,0.875,0.9,0.7875,0.9125
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,,0.0001,1.4285714285714285e-05
tr_time,0.42666800000000005,0.18400499999999997,0.021327000000000318,0.018833000000000766,0.01731199999999955,0.08345499999999983,0.022944999999999993,1.8646079999999996,31.362331999999995,0.06871200000000055,0.471133,1.127926,1.0018669999999998,0.01085700000000056,0.20364199999999988,0.17437099999999983,0.8370429999999995
train,0.81875,1.0,0.065625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978125,0.95,1.0,0.959375,1.0,0.865625,0.978125
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
