,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.3,1.2,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,0.6,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.43678160919540227,0.7409523809523809,0.0012195121951219514,0.5888095238095238,0.5322023809523808,0.8641666666666665,0.8516666666666666,0.6337337662337662,0.775952380952381,0.8316666666666667,0.9358333333333333,0.8375,0.7842857142857141,0.8517857142857143,0.8209523809523809,0.8251190476190476,0.8516666666666666
f1_train,0.5493075891972952,1.0,0.15052971183405967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9750898692810459,1.0,0.9653950746965453,1.0,0.9472431408460821,0.9937254901960785
l2_regularization,,,,,,,,,0.1,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,50,35.0,,,,35,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,saga,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.425,0.7625,0.025,0.6,0.55,0.875,0.875,0.6375,0.8,0.8375,0.9375,0.8625,0.8125,0.875,0.825,0.85,0.8625
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.6666666666666667e-05
tr_time,0.3608600000000002,0.4313769999999999,0.18376500000000018,0.38248199999999954,0.01634599999999864,0.07416300000000042,0.41703000000000046,1.8943960000000004,11.300977,0.06615100000000051,0.6041159999999994,1.2180279999999999,1.3844570000000012,0.010995000000001198,0.16860600000000003,0.1993160000000005,0.9997429999999996
train,0.55,1.0,0.115625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,0.965625,1.0,0.95,0.99375
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
