,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,0.9,1.3,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1.4285714285714286e-06,,,1.2,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.49027777777777776,0.8808333333333334,0.0012195121951219514,0.46761904761904755,0.4026190476190476,0.8883333333333333,0.8791666666666667,0.4658333333333333,0.8083333333333332,0.8617857142857144,0.8941666666666667,0.8883333333333333,0.715952380952381,0.8858333333333335,0.8666666666666666,0.8083333333333333,0.8724999999999999
f1_train,0.8365087229237014,1.0,0.12970397039703968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905882352941177,1.0,0.987450980392157,1.0,0.9618649565089195,0.9905882352941177
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,cosine,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,45.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,best,best,,,,,,,,,,,,
test,0.525,0.8875,0.025,0.4875,0.45,0.9,0.9,0.5,0.8125,0.875,0.9,0.9,0.7625,0.9,0.875,0.8375,0.8875
tol,,,,,,,,3.3333333333333333e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.4285714285714285e-05
tr_time,0.43811500000000025,0.33981400000000006,0.19955700000000043,0.31794799999999945,0.012838000000000349,0.08143900000000004,0.3830360000000006,1.9976350000000007,17.846984000000003,0.05351700000000115,0.5119559999999996,5.33658,1.2575649999999996,0.00971799999999945,0.25810900000000014,0.1992130000000003,0.9153769999999994
train,0.8375,1.0,0.103125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990625,1.0,0.9875,1.0,0.9625,0.990625
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
