,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.4,,,,,
activation,,,,,,,,,,,,,tanh,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,2e-06,,,1.1,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,gini,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.41222222222222216,0.8875,0.0012195121951219514,0.5266666666666667,0.5725,0.9166666666666666,0.8741666666666668,0.6168253968253968,0.8633333333333333,0.9066666666666666,0.96,0.9333333333333332,0.8524999999999998,0.8733333333333333,0.8584523809523809,0.9091666666666665,0.9083333333333332
f1_train,0.7132590406096598,1.0,0.11413547237076649,1.0,1.0,1.0,0.9968627450980392,1.0,1.0,1.0,0.9968627450980392,0.9719648692810459,1.0,0.9438811796648485,1.0,0.9778011204481792,0.9968627450980392
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.1,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,90,40.0,,,,45,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.45,0.9,0.025,0.55,0.5875,0.925,0.875,0.6375,0.875,0.9125,0.9625,0.9375,0.8625,0.875,0.8625,0.9125,0.9125
tol,,,,,,,,1.1111111111111112e-06,1e-08,,0.0001,0.0001,,,,0.0001,0.0001
tr_time,0.4349770000000035,0.3180839999999989,0.30553700000001527,0.2807220000000257,0.014408000000003085,0.08410699999996041,0.4277900000000159,2.417037999999991,18.04175600000002,0.06085999999999103,0.5031029999999532,4.037905000000023,1.387328000000025,0.00955799999996998,0.2567929999999592,0.2014819999999986,0.826864999999998
train,0.734375,1.0,0.09375,1.0,1.0,1.0,0.996875,1.0,1.0,1.0,0.996875,0.971875,1.0,0.94375,1.0,0.978125,0.996875
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,,
weights,,,,,,,,,,distance,,,,,,,
