,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,random_forest,ridge,sgd
C,,,,,,,,,,,1.4,1.3,,,,,
activation,,,,,,,,,,,,,logistic,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,
alpha,,,0.1,,,,,,,,,,1e-05,,,1.2,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,,,
f1_test,0.45513888888888887,0.8099999999999999,0.0012195121951219514,0.5095833333333333,0.4663095238095238,0.8466666666666665,0.8024999999999999,0.48357142857142854,0.7258333333333333,0.8033333333333333,0.7251190476190477,0.6884523809523809,0.7983333333333333,0.76,0.8625,0.5371825396825397,0.7066666666666667
f1_train,0.6887107806549353,1.0,0.04569444444444444,1.0,1.0,1.0,0.9368194713782948,1.0,1.0,1.0,0.7983057385940513,0.6735683943716653,1.0,0.8609926588719159,1.0,0.553024664913092,0.8085529167180466
l2_regularization,,,,,,,,,0.0,,,,,,,,
learning_rate,0.1,,,,,,,0.2,,,,,adaptive,,,,
loss,,,,,,,,deviance,,,,,,,,,log
metric,,,,,,,,,,,,,,euclidean,,,
multi_class,,,,,,,,,,,ovr,,,,,,
n_estimators,80,45.0,,,,40,,,,,,,,,45,,
n_neighbors,,,,,,,,,,3,,,,,,,
oob_score,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,1,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,
splitter,,,,random,best,,,,,,,,,,,,
test,0.475,0.825,0.025,0.525,0.475,0.85,0.8125,0.525,0.7625,0.8125,0.7625,0.75,0.8125,0.775,0.875,0.6125,0.7375
tol,,,,,,,,1.4285714285714286e-06,1e-08,,0.0001,0.0001,,,,0.0001,1.6666666666666667e-05
tr_time,0.3350850000000003,0.11360499999999973,0.018953999999999915,0.017229999999999634,0.01235299999999917,0.0719240000000001,0.021107999999999905,1.8397249999999996,16.193862,0.05135199999999962,0.47684199999999954,0.7689580000000005,1.5188200000000007,0.008980999999999462,0.1887540000000003,0.17555799999999966,0.8508530000000007
train,0.703125,1.0,0.05,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.821875,0.73125,1.0,0.8625,1.0,0.615625,0.821875
var_smoothing,,,,,,,1e-10,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,,
weights,,,,,,,,,,distance,,,,,,,
