,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,0.5,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.3,,,,,,,,,,5e-06,,,,0.8,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.8573818057689027,0.8270833333333334,0.8592004703115814,0.6759259259259259,0.7190748060313277,0.8600786186993084,0.9449614374099501,0.7325637325637325,0.8261365218602061,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8600786186993084,0.8888888888888888,0.8873015873015873,0.8592527529725598,0.8888888888888888
f1_train,1.0,1.0,0.9363096916840432,1.0,1.0,1.0,0.9929636505572794,1.0,1.0,1.0,1.0,1.0,1.0,0.9788577313684477,1.0,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.7,,,,,,,0.3,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,40,40.0,,,,15,,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.8611111111111112,0.8333333333333334,0.8611111111111112,0.6944444444444444,0.7222222222222222,0.8611111111111112,0.9444444444444444,0.75,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.8611111111111112,0.8888888888888888
tol,,,,,,,,1e-05,1e-08,,0.0001,0.0001,,,2e-05,,0.0001,0.0001
tr_time,0.30001900000000026,0.09918899999999997,0.018328999999999596,0.015162999999999371,0.009790999999999883,0.04579800000000045,0.01792700000000025,0.36477800000000027,2472.369691,0.04947800000000058,0.42002499999999987,0.407686,0.6847649999999996,0.007164999999999644,0.16250600000000048,0.10867999999999967,0.1887439999999998,0.7262640000000005
train,1.0,1.0,0.9366197183098591,1.0,1.0,1.0,0.9929577464788732,1.0,1.0,1.0,1.0,1.0,1.0,0.9788732394366197,1.0,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
