,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.6,1.3,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.8,,,,,,,,,,1.4285714285714286e-06,,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,False,,,
f1_test,0.8618881118881119,0.884920634920635,0.1820330969267139,0.8333980833980833,0.7590115198810851,0.9435246235246235,0.9170448445810765,0.8307435254803677,0.9147474747474749,0.9147474747474749,0.9723691945914168,0.9723691945914168,0.9448329448329448,0.9448329448329448,0.9147474747474749,0.9144647944647945,0.9723691945914168,0.9448329448329448
f1_train,1.0,1.0,0.244837322302111,1.0,1.0,1.0,0.9719132351693823,1.0,1.0,1.0,0.9929636505572794,0.9859056090931555,1.0,0.9929636505572794,0.9929636505572794,1.0,1.0,1.0
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.8,,,,,,,0.8,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,modified_huber
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,80,35.0,,,,40,,,,,,,,,,30,,
n_neighbors,,,,,,,,,,6,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,3,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,liblinear,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.8611111111111112,0.8888888888888888,0.3055555555555556,0.8333333333333334,0.75,0.9444444444444444,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.9444444444444444
tol,,,,,,,,5e-06,1e-08,,0.0001,0.0001,,,0.0001,,0.0001,0.0001
tr_time,0.27971999999999997,0.04753800000000008,0.016396999999999995,0.010210000000000274,0.00991300000000006,0.06030599999999975,0.014775000000000205,0.24262200000000034,2960.723211,0.04760699999999973,0.08070500000000003,0.3694379999999997,0.25686100000000023,0.0067629999999998525,0.0827,0.10936199999999996,0.05584699999999998,0.5492349999999999
train,1.0,1.0,0.4084507042253521,1.0,1.0,1.0,0.971830985915493,1.0,1.0,1.0,0.9929577464788732,0.9859154929577465,1.0,0.9929577464788732,0.9929577464788732,1.0,1.0,1.0
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,0,,
weights,,,,,,,,,,distance,,,,,,,,
