,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.9,0.9,,,,,,
activation,,,,,,,,,,,,,tanh,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.3,,,,,,,,,,1e-05,,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,gini,entropy,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.9437710437710438,0.972097284690988,0.282263630089717,0.972097284690988,0.9453357991369687,1.0,1.0,0.972097284690988,0.972097284690988,1.0,1.0,1.0,0.9722633744855967,1.0,1.0,1.0,1.0,1.0
f1_train,0.9859521011870257,1.0,0.2449050362782757,1.0,1.0,1.0,0.9648919155961411,1.0,1.0,1.0,0.9859364520456071,0.9789272333392596,1.0,0.9648282401280049,0.9859154929577465,1.0,0.9859154929577465,0.9929414166156358
l2_regularization,,,,,,,,,0.1,,,,,,,,,
learning_rate,0.5,,,,,,,0.1,,,,,adaptive,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,modified_huber
metric,,,,,,,,,,,,,,manhattan,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,40,20.0,,,,40,,,,,,,,,,40,,
n_neighbors,,,,,,,,,,3,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l2
solver,,,,,,,,,,,,sag,lbfgs,,,,,
splitter,,,,best,random,,,,,,,,,,,,,
test,0.9444444444444444,0.9722222222222222,0.3888888888888889,0.9722222222222222,0.9444444444444444,1.0,1.0,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0
tol,,,,,,,,1.25e-06,1e-08,,0.0001,3.3333333333333335e-05,,,5e-05,,0.0001,2e-05
tr_time,0.25125600000000015,0.03771600000000008,0.017431999999999892,0.011701999999999657,0.011182999999999943,0.059946000000000055,0.018642999999999965,0.27793899999999994,2627.063328,0.0638700000000001,0.07880599999999971,0.3295690000000002,0.301844,0.006953999999999905,0.06433100000000014,0.08373099999999978,0.049484000000000083,0.5490619999999997
train,0.9859154929577465,1.0,0.4084507042253521,1.0,1.0,1.0,0.9647887323943662,1.0,1.0,1.0,0.9859154929577465,0.9788732394366197,1.0,0.9647887323943662,0.9859154929577465,1.0,0.9859154929577465,0.9929577464788732
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,0,1,,
weights,,,,,,,,,,distance,,,,,,,,
