,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.6,1.3,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.1,,,,,,,,,,5e-06,,,,0.5,0.0008
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,entropy,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.9154320987654321,0.944485596707819,0.19444444444444445,0.888009768009768,0.8914141414141413,0.9722633744855967,0.972097284690988,0.9723691945914168,0.944485596707819,0.888009768009768,0.972097284690988,1.0,0.9167901234567901,0.944485596707819,0.9445019553715207,0.9723691945914168,0.9444444444444444,0.972097284690988
f1_train,0.9646387988699157,1.0,0.2865889150893294,1.0,1.0,1.0,0.9581350982147062,1.0,1.0,1.0,0.9789272333392596,0.9859056090931555,1.0,0.943931808435285,0.978922467220224,0.9929636505572794,0.9859154929577465,0.9859521011870257
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.4,,,,,,,0.4,,,,,constant,,,,,
loss,,,,,,,,deviance,,,,,,,hinge,,,perceptron
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,80,40.0,,,,15,,,,,,,,,,20,,
n_neighbors,,,,,,,,,,4,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,1,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,l1
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,random,best,,,,,,,,,,,,,
test,0.9166666666666666,0.9444444444444444,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.8888888888888888,0.9722222222222222,1.0,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9444444444444444,0.9722222222222222
tol,,,,,,,,2.5e-06,1e-08,,0.0001,0.0001,,,1.4285714285714285e-05,,0.0001,2e-05
tr_time,0.3118210000000001,0.04791500000000015,0.017841999999999913,0.014480999999999966,0.014052000000000398,0.05556500000000009,0.015893999999999853,0.24405199999999994,3497.9282550000003,0.04292700000000016,0.08145800000000003,0.37290599999999996,0.3104610000000001,0.0067829999999999835,0.06995599999999991,0.09559999999999969,0.052520999999999596,0.550564
train,0.9647887323943662,1.0,0.4295774647887324,1.0,1.0,1.0,0.9577464788732394,1.0,1.0,1.0,0.9788732394366197,0.9859154929577465,1.0,0.9436619718309859,0.9788732394366197,0.9929577464788732,0.9859154929577465,0.9859154929577465
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,0,0,,
weights,,,,,,,,,,distance,,,,,,,,
