,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,1.1,1.4,,,,,,
activation,,,,,,,,,,,,,relu,,,,,
algorithm,SAMME.R,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.6,,,,,,,,,,1.25e-06,,,,1.3,0.0009
bootstrap_features,,0.0,,,,,,,,,,,,,,,,
criterion,,,,gini,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.9170086402437969,0.9444444444444444,0.20634920634920637,0.9133459835547121,0.8000210837022981,0.9442690058479533,0.9432098765432099,0.9719701552732407,0.9719701552732407,0.9719701552732407,0.9719701552732407,0.9719701552732407,0.9432098765432099,0.9719701552732407,0.9723691945914168,0.9133459835547121,0.9719701552732407,0.9719701552732407
f1_train,0.9929414166156358,1.0,0.27263406221299924,1.0,1.0,1.0,0.9648870256096219,1.0,1.0,1.0,0.9718592309872983,0.9719132891527884,1.0,0.964681368845484,0.9354968192996361,1.0,0.971830985915493,0.9787801852062414
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.6,,,,,,,0.8,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,log
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,crammer_singer,,,,,,,
n_estimators,80,40.0,,,,45,,,,,,,,,,30,,
n_neighbors,,,,,,,,,,7,,,,,,,,
oob_score,,,,,,,,,,,,,,,,0,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,elasticnet
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,random,best,,,,,,,,,,,,,
test,0.9166666666666666,0.9444444444444444,0.3611111111111111,0.9166666666666666,0.8055555555555556,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9722222222222222
tol,,,,,,,,2.5e-06,1e-08,,0.0001,0.0001,,,1.25e-05,,0.0001,0.0001
tr_time,0.26252200000000014,0.05644500000000008,0.013968000000000202,0.00974499999999967,0.008866000000000263,0.057809,0.013884999999999703,0.23606399999999983,2979.185778,0.04473400000000005,0.08035300000000012,0.39196399999999976,0.2639459999999998,0.007640000000000313,0.07455500000000015,0.07834799999999986,0.04780300000000004,0.5373589999999999
train,0.9929577464788732,1.0,0.4225352112676056,1.0,1.0,1.0,0.9647887323943662,1.0,1.0,1.0,0.971830985915493,0.971830985915493,1.0,0.9647887323943662,0.9366197183098591,1.0,0.971830985915493,0.9788732394366197
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,0,,,,,,,,,1,1,,
weights,,,,,,,,,,distance,,,,,,,,
