,ada_boost,bagging,bernoulli,decision_tree,extra_tree,extra_trees,gaussian,gradient_boosting,hist_gradient_boosting,k_neighbors,linear_svc,logistic_regression,mlp,nearest_centroid,passive_aggressive,random_forest,ridge,sgd
C,,,,,,,,,,,0.5,1.4,,,,,,
activation,,,,,,,,,,,,,logistic,,,,,
algorithm,SAMME,,,,,,,,,ball_tree,,,,,,,,
alpha,,,0.6,,,,,,,,,,2.5e-06,,,,0.5,0.001
bootstrap_features,,1.0,,,,,,,,,,,,,,,,
criterion,,,,entropy,entropy,gini,,friedman_mse,,,,,,,,gini,,
early_stopping,,,,,,,,,,,,,True,,True,,,
f1_test,0.9171075837742504,0.9432098765432099,0.20634920634920637,0.8551967888604718,0.8076131687242797,1.0,1.0,0.9723691945914168,1.0,1.0,1.0,1.0,0.9722633744855967,1.0,0.9448329448329448,1.0,1.0,1.0
f1_train,0.8875190537162367,1.0,0.244837322302111,1.0,1.0,1.0,0.9437044257345375,1.0,1.0,0.9576626425217974,0.9649259191512712,0.9649898904248532,1.0,0.9438956030839536,0.9649792682277916,1.0,0.9578996768166267,0.971920729775957
l2_regularization,,,,,,,,,0.0,,,,,,,,,
learning_rate,0.7,,,,,,,0.8,,,,,invscaling,,,,,
loss,,,,,,,,deviance,,,,,,,squared_hinge,,,squared_hinge
metric,,,,,,,,,,,,,,euclidean,,,,
multi_class,,,,,,,,,,,ovr,,,,,,,
n_estimators,10,20.0,,,,10,,,,,,,,,,40,,
n_neighbors,,,,,,,,,,5,,,,,,,,
oob_score,,,,,,,,,,,,,,,,1,,
p,,,,,,,,,,2,,,,,,,,
penalty,,,,,,,,,,,l2,,,,,,,none
solver,,,,,,,,,,,,newton-cg,lbfgs,,,,,
splitter,,,,best,best,,,,,,,,,,,,,
test,0.9166666666666666,0.9444444444444444,0.3611111111111111,0.8611111111111112,0.8055555555555556,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,1.0,1.0,1.0
tol,,,,,,,,1.6666666666666667e-06,1e-08,,0.0001,0.0001,,,3.3333333333333335e-05,,0.0001,1.6666666666666667e-05
tr_time,0.25204899999999997,0.03866600000000009,0.01422900000000027,0.010845000000000216,0.008976000000000095,0.044060999999999906,0.01600299999999999,0.23436199999999996,3213.330634,0.055475000000000385,0.0827589999999998,0.36221000000000014,0.29479999999999995,0.007136999999999727,0.09346000000000032,0.09181499999999998,0.050358000000000125,0.521515
train,0.8873239436619719,1.0,0.4084507042253521,1.0,1.0,1.0,0.9436619718309859,1.0,1.0,0.9577464788732394,0.9647887323943662,0.9647887323943662,1.0,0.9436619718309859,0.9647887323943662,1.0,0.9577464788732394,0.971830985915493
var_smoothing,,,,,,,1e-10,,,,,,,,,,,
warm_start,,,,,,1,,,,,,,,,1,1,,
weights,,,,,,,,,,uniform,,,,,,,,
